Time,Velocity
0.0,0.0
0.004,0.030003000300030003
0.008,0.060006000600060005
0.012,0.09000900090009001
0.016,0.12001200120012001
0.02,0.15001500150015
0.024,0.18001800180018002
0.028,0.21002100210021002
0.032,0.24002400240024002
0.036,0.27002700270027
0.04,0.3000300030003
0.044,0.33003300330033003
0.048,0.36003600360036003
0.052,0.39003900390039004
0.056,0.42004200420042004
0.06,0.45004500450045004
0.064,0.48004800480048004
0.068,0.51005100510051
0.072,0.54005400540054
0.076,0.57005700570057
0.08,0.6000600060006
0.084,0.6300630063006301
0.088,0.6600660066006601
0.092,0.6900690069006901
0.096,0.7200720072007201
0.1,0.7500750075007501
0.104,0.7800780078007801
0.108,0.8100810081008101
0.112,0.8400840084008401
0.116,0.8700870087008701
0.12,0.9000900090009001
0.124,0.9300930093009301
0.128,0.9600960096009601
0.132,0.9900990099009901
0.136,1.02010201020102
0.14,1.05010501050105
0.144,1.08010801080108
0.148,1.11011101110111
0.152,1.14011401140114
0.156,1.17011701170117
0.16,1.2001200120012
0.164,1.2301230123012301
0.168,1.2601260126012601
0.172,1.2901290129012901
0.176,1.3201320132013201
0.18,1.3501350135013501
0.184,1.3801380138013801
0.188,1.4101410141014101
0.192,1.4401440144014401
0.196,1.4701470147014701
0.2,1.5001500150015001
0.204,1.5301530153015301
0.208,1.5601560156015601
0.212,1.5901590159015901
0.216,1.6201620162016201
0.22,1.6501650165016502
0.224,1.6801680168016802
0.228,1.7101710171017102
0.232,1.7401740174017402
0.236,1.7701770177017702
0.24,1.8001800180018002
0.244,1.8301830183018302
0.248,1.8601860186018602
0.252,1.8901890189018902
0.256,1.9201920192019202
0.26,1.9501950195019502
0.264,1.9801980198019802
0.268,2.01020102010201
0.272,2.04020402040204
0.276,2.07020702070207
0.28,2.1002100210021
0.284,2.13021302130213
0.288,2.16021602160216
0.292,2.19021902190219
0.296,2.22022202220222
0.3,2.25022502250225
0.304,2.28022802280228
0.308,2.31023102310231
0.312,2.34023402340234
0.316,2.37023702370237
0.32,2.4002400240024
0.324,2.43024302430243
0.328,2.4602460246024602
0.332,2.4902490249024902
0.336,2.5202520252025202
0.34,2.5502550255025502
0.344,2.5802580258025802
0.348,2.6102610261026102
0.352,2.6402640264026402
0.356,2.6702670267026702
0.36,2.7002700270027002
0.364,2.7302730273027302
0.368,2.7602760276027603
0.372,2.7902790279027903
0.376,2.8202820282028203
0.38,2.8502850285028503
0.384,2.8802880288028803
0.388,2.9102910291029103
0.392,2.9402940294029403
0.396,2.9702970297029703
0.4,3.0003000300030003
0.404,3.0303030303030303
0.408,3.0603060306030603
0.412,3.0903090309030903
0.416,3.1203120312031203
0.42,3.1503150315031503
0.424,3.1803180318031803
0.428,3.2103210321032103
0.432,3.2403240324032403
0.436,3.2703270327032703
0.44,3.3003300330033003
0.444,3.3303330333033303
0.448,3.3603360336033603
0.452,3.3903390339033903
0.456,3.4203420342034203
0.46,3.4503450345034503
0.464,3.4803480348034803
0.468,3.5103510351035103
0.472,3.5403540354035403
0.476,3.5703570357035703
0.48,3.6003600360036003
0.484,3.6303630363036303
0.488,3.6603660366036603
0.492,3.6903690369036903
0.496,3.7203720372037203
0.5,3.7503750375037503
0.504,3.7803780378037803
0.508,3.8103810381038103
0.512,3.8403840384038403
0.516,3.8703870387038704
0.52,3.9003900390039004
0.524,3.9303930393039304
0.528,3.9603960396039604
0.532,3.9903990399039904
0.536,4.02040204020402
0.54,4.05040504050405
0.544,4.08040804080408
0.548,4.11041104110411
0.552,4.14041404140414
0.556,4.17041704170417
0.56,4.2004200420042
0.564,4.23042304230423
0.568,4.26042604260426
0.572,4.29042904290429
0.576,4.32043204320432
0.58,4.35043504350435
0.584,4.38043804380438
0.588,4.41044104410441
0.592,4.44044404440444
0.596,4.47044704470447
0.6,4.5004500450045
0.604,4.53045304530453
0.608,4.56045604560456
0.612,4.59045904590459
0.616,4.62046204620462
0.62,4.65046504650465
0.624,4.68046804680468
0.628,4.71047104710471
0.632,4.74047404740474
0.636,4.77047704770477
0.64,4.8004800480048
0.644,4.83048304830483
0.648,4.86048604860486
0.652,4.8904890489048904
0.656,4.9204920492049204
0.66,4.9504950495049505
0.664,4.9804980498049805
0.668,5.0105010501050105
0.672,5.0405040504050405
0.676,5.0705070507050705
0.68,5.1005100510051005
0.684,5.1305130513051305
0.688,5.1605160516051605
0.692,5.1905190519051905
0.696,5.2205220522052205
0.7,5.2505250525052505
